Data/Hora,RSSI (dBm),SNR (dB),Frame Counter,Data Rate
2026-06-12 14:44:39,-89,11,24914,2
2026-06-12 14:45:39,-88,10.5,24915,2
2026-06-12 14:46:39,-88,11.300000190734863,24916,2
2026-06-12 14:47:39,-85,10.800000190734863,24917,2
2026-06-12 14:48:39,-87,10.300000190734863,24918,2
2026-06-12 14:49:39,-91,8.5,24919,2
2026-06-12 14:50:39,-89,10.300000190734863,24920,2
2026-06-12 14:51:39,-94,11.800000190734863,24921,2
2026-06-12 14:52:39,-92,11.5,24922,2
2026-06-12 14:53:39,-87,11.5,24923,2
2026-06-12 14:54:39,-92,11.800000190734863,24924,2
2026-06-12 14:55:39,-94,7.800000190734863,24925,2
2026-06-12 14:56:40,-89,10.300000190734863,24926,2
2026-06-12 14:57:39,-90,10,24927,2
2026-06-12 14:58:40,-88,10.5,24928,2
2026-06-12 14:59:39,-88,9.300000190734863,24929,2
2026-06-12 15:00:39,-88,10,24930,2
2026-06-12 15:01:39,-88,10.300000190734863,24931,2
2026-06-12 15:02:39,-93,11.300000190734863,24932,2
2026-06-12 15:03:39,-89,9.5,24933,2
2026-06-12 15:04:39,-89,10,24934,2
2026-06-12 15:05:39,-92,8.5,24935,2
2026-06-12 15:06:39,-90,8.300000190734863,24936,2
2026-06-12 15:07:40,-93,9,24937,2
2026-06-12 15:08:40,-87,10,24938,2
2026-06-12 15:09:39,-87,9.800000190734863,24939,2
2026-06-12 15:10:39,-90,9.5,24940,2
2026-06-12 15:11:39,-87,8.5,24941,2
2026-06-12 15:12:39,-90,9.5,24942,2
2026-06-12 15:13:40,-89,10.5,24943,2
2026-06-12 15:14:39,-90,9.5,24944,2
2026-06-12 15:15:39,-89,10.5,24945,2
2026-06-12 15:16:39,-92,6.5,24946,2
2026-06-12 15:16:39,-89,11,24946,2
2026-06-12 15:17:39,-88,11,24947,2
2026-06-12 15:18:39,-89,10.5,24948,2
2026-06-12 15:19:39,-87,10.800000190734863,24949,2
2026-06-12 15:20:39,-90,9.300000190734863,24950,2
2026-06-12 15:21:39,-89,10.5,24951,2
2026-06-12 15:22:40,-91,10.5,24952,2
2026-06-12 15:23:39,-88,9.800000190734863,24953,2
2026-06-12 15:24:39,-93,11.300000190734863,24954,2
2026-06-12 15:25:40,-92,12.300000190734863,24955,2
2026-06-12 15:26:39,-89,9.800000190734863,24956,2
2026-06-12 15:27:39,-88,10.800000190734863,24957,2
2026-06-12 15:28:39,-91,10,24958,2
2026-06-12 15:29:39,-88,11,24959,2
2026-06-12 15:30:39,-88,11.300000190734863,24960,2
2026-06-12 15:31:39,-92,12.300000190734863,24961,2
2026-06-12 15:32:39,-88,12,24962,2
2026-06-12 15:33:39,-89,10.5,24963,2
2026-06-12 15:34:39,-93,9,24964,2
2026-06-12 15:35:39,-95,9.800000190734863,24965,2
2026-06-12 15:36:39,-88,10,24966,2
2026-06-12 15:37:39,-87,11.300000190734863,24967,2
2026-06-12 15:38:39,-90,10.300000190734863,24968,2
